Interface,Protocol,"Duration (s)","Transaction ID","Request Time","SIP Dialog Call ID","Request IMS Entity","Request IMS Entity Call Leg","Request Node Name","Request IP Address","Request Method","Request Packet ID","Response Time","Response IMS Entity","Response IMS Entity Call Leg","Response Node Name","Response IP Address","Response Method","Response Packet ID"
ISC,sip,"0,395",z9hG4bK17c24630d9ca8838c794dde306b0f857jaaaaaaiaaaaaafyngsjq3Zqkv7y1lv1bufokrkheaaaaabqaaaaaaaaaaaaaa,"2017-11-06 14:34:38.090",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,PRACK,52,"2017-11-06 14:34:38.485",MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,"200 OK",66
ISC,sip,"0,393",z9hG4bK2215766825-614466368,"2017-11-06 14:34:38.091",p65540t1509975277m78183c3831486s2,MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,PRACK,53,"2017-11-06 14:34:38.484",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"200 OK",65
ISC,sip,"0,170",z9hG4bK591c41f7e90714f9677dc19abd7b9f91jaaaaaaiaaaaaay35m1aa3Zqkv7yzp2h5wcv5n4hyaaaaabqaaaaaaaaaaaaaa,"2017-11-06 14:34:38.246",p65540t1509975277m78183c3831486s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,PRACK,54,"2017-11-06 14:34:38.416",MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,"200 OK",64
ISC,sip,"0,168",z9hG4bK2215922411-1489216572,"2017-11-06 14:34:38.247",p65540t1509975277m450407c3831488s2,MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,PRACK,55,"2017-11-06 14:34:38.415",S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,"200 OK",63
Mw,sip,"0,070",z9hG4bKced0b8fc38ce83648ebeec19269e7970jaaaaaaiaaaaaaqxuella3Zqkv7a1pqcs5cwkddsqaaaaabqaaaaaaaa,"2017-11-06 14:34:38.313",p65540t1509975277m450407c3831488s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,PRACK,58,"2017-11-06 14:34:38.383",P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.180.133,"200 OK",62
Gm,sip,"0,066",z9hG4bKg3Zqkv7i51mwq8c7jm13wwc4utclr9nq7,"2017-11-06 14:34:38.315",p65540t1509975277m450407c3831488s2,P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.181.186,PRACK,59,"2017-11-06 14:34:38.381",UA,Terminating,"term. UA",51.1.6.53,"200 OK",61
Gm,sip,"0,517",z9hG4bKb4edc44adb8d7c253d7bae0fb7856a11,"2017-11-06 14:34:42.243",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,UA,Originating,"orig. UA",51.1.4.7,BYE,91,"2017-11-06 14:34:42.760",P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.181.186,"200 OK",107
Mw,sip,"0,513",z9hG4bKg3Zqkv7ik74xf46myk2qleiwl1jw289dp,"2017-11-06 14:34:42.245",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,P-CSCF,Originating,TA2D_NBG-ECAT215,217.243.180.133,BYE,92,"2017-11-06 14:34:42.758",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"200 OK",106
ISC,sip,"0,398",z9hG4bK5d54372cb5739e3e2bd7ab861e317f04jaaaaaaiaaaaaa21014vq3Zqkv7y1lv1buf3kqstyaaaaabqaaaaaaaaaaaaaa,"2017-11-06 14:34:42.319",4412-1518-1657274620-7FEEFB98DA89-0029@51.1.4.7,S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,BYE,93,"2017-11-06 14:34:42.717",MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,"200 OK",104
ISC,sip,"0,393",z9hG4bK2219997072-617182239,"2017-11-06 14:34:42.322",p65540t1509975277m78183c3831486s2,MTAS,Originating,TA2D_NBG-EATT216,217.243.180.11,BYE,94,"2017-11-06 14:34:42.715",S-CSCF,Originating,TA2D_S-CSCF,217.243.180.5,"200 OK",103
ISC,sip,"0,183",z9hG4bK9aa4020210829f13fb5722932f9e2409jaaaaaaiaaaaaayiklyqq3Zqkv7yzp2h5wgvypnxiaaaaabqaaaaaaaaaaaaaa,"2017-11-06 14:34:42.457",p65540t1509975277m78183c3831486s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,BYE,95,"2017-11-06 14:34:42.640",MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,"200 OK",102
ISC,sip,"0,179",z9hG4bK2220134108-1195333195,"2017-11-06 14:34:42.459",p65540t1509975277m450407c3831488s2,MTAS,Terminating,TA2D_NBG-EATT216,217.243.180.11,BYE,96,"2017-11-06 14:34:42.638",S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,"200 OK",101
Mw,sip,"0,074",z9hG4bKbb1accc118b59ef8bf1938323534492djaaaaaaiaaaaaagbgigna3Zqkv7a1pqcs5dgk5j2qaaaaabqaaaaaaaa,"2017-11-06 14:34:42.528",p65540t1509975277m450407c3831488s2,S-CSCF,Terminating,TA2D_S-CSCF,217.243.180.5,BYE,97,"2017-11-06 14:34:42.602",P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.180.133,"200 OK",100
Gm,sip,"0,069",z9hG4bKg3Zqkv7i15dhmeoszcdw5gz7e6d6ziur8,"2017-11-06 14:34:42.531",p65540t1509975277m450407c3831488s2,P-CSCF,Terminating,TA2D_NBG-ECAT215,217.243.181.186,BYE,98,"2017-11-06 14:34:42.600",UA,Terminating,"term. UA",51.1.6.53,"200 OK",99
